2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:40 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:19:58 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-05-27 11:20:08 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:33:19 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:33:31 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:34:15 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:34:27 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:35:15 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:37:39 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:38:21 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:39:00 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:39:04 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:39:07 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:39:10 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:39:55 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:54:49 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:55:27 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:55:38 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:56:31 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:56:31 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:56:31 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:56:31 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:56:31 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
2025-06-10 16:56:31 | ERROR | Creation of dynamic property InicioControlador::$sesion is deprecated | /Users/cferrerobonet/Documents/04 DESARROLLADOR/Web/EPLA/AUTOEXAM2/app/controladores/inicio_controlador.php:20
